                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 3.1163,                 3.9695,                 3.3035,                0.47326,                0.02432,                0.02015,                0.00828,                 3.1449,                 8.0921,                 3.4409,                0.00685,                0.00685,                0.00685
                     72,                 2.9354,                 4.1778,                 3.3466,                0.48788,                0.02982,                0.02683,                0.01025,                 3.0686,                 7.3203,                 3.4169,               0.006805,               0.006805,               0.006805
                     73,                 3.0118,                 3.8695,                 3.3255,                 0.4372,                0.02524,                0.03769,                 0.0116,                 3.0144,                 8.4904,                 3.4208,                0.00676,                0.00676,                0.00676
                     74,                 3.0198,                 4.2216,                  3.323,                 0.4747,                0.01983,                0.02207,                0.00955,                 3.0537,                 7.1892,                 3.4338,               0.006715,               0.006715,               0.006715
                     75,                 3.1532,                  4.465,                 3.4019,                0.30039,                0.02624,                0.01662,                0.00656,                 3.0992,                 8.5094,                 3.4639,                0.00667,                0.00667,                0.00667
                     76,                 2.8526,                 4.0845,                  3.339,                0.00908,                0.05214,                0.01252,                0.00341,                 3.1208,                 7.6766,                 3.4583,               0.006625,               0.006625,               0.006625
                     77,                 2.8222,                  4.002,                 3.3037,                0.27093,                 0.0154,                0.01291,                 0.0054,                 3.0095,                 7.1645,                 3.4059,                0.00658,                0.00658,                0.00658
                     78,                  2.929,                  3.954,                 3.2908,                0.30181,                0.01351,                0.01818,                0.00679,                 3.0364,                 7.2766,                 3.3615,               0.006535,               0.006535,               0.006535
                     79,                 2.9731,                 4.0469,                 3.2748,                  0.244,                 0.0264,                0.00962,                0.00373,                 3.0032,                  6.802,                 3.3265,                0.00649,                0.00649,                0.00649
                     80,                  2.778,                 4.1968,                 3.3038,                0.27145,                0.02654,                0.01725,                0.00738,                 2.9419,                 6.3518,                  3.257,               0.006445,               0.006445,               0.006445
                     81,                  2.979,                 4.0178,                   3.28,                 0.2588,                0.02431,                0.01399,                0.00634,                 3.0318,                  7.008,                 3.2647,                 0.0064,                 0.0064,                 0.0064
                     82,                 2.9824,                 3.9886,                  3.278,                0.33308,                0.02842,                0.01635,                0.00757,                 2.9938,                 7.0777,                  3.261,               0.006355,               0.006355,               0.006355
                     83,                 3.0241,                 3.9587,                 3.3081,                0.30949,                 0.0203,                0.00634,                0.00303,                 3.0366,                 7.3555,                 3.3533,                0.00631,                0.00631,                0.00631
                     84,                 2.9569,                  4.104,                 3.2097,                0.42017,                0.01833,                0.01761,                0.00817,                 2.9552,                 6.8043,                  3.282,               0.006265,               0.006265,               0.006265
                     85,                 2.9944,                 4.0456,                 3.2505,                0.37551,                0.02514,                0.02723,                0.01257,                 2.8831,                 8.4469,                 3.2719,                0.00622,                0.00622,                0.00622
                     86,                  2.999,                 3.7539,                 3.1161,                0.27915,                0.03168,                0.01777,                0.00919,                 3.0616,                 8.0299,                 3.3158,               0.006175,               0.006175,               0.006175
                     87,                 2.9516,                  4.047,                 3.2112,                0.31981,                 0.0383,                0.03129,                0.01561,                 2.9521,                 6.8776,                 3.2756,                0.00613,                0.00613,                0.00613
                     88,                  2.973,                 3.8334,                 3.1402,                0.33459,                0.03575,                0.02565,                0.01281,                 2.9308,                 6.5473,                  3.326,               0.006085,               0.006085,               0.006085
                     89,                 2.7964,                 3.6974,                 3.1343,                0.40675,                0.01291,                0.01796,                0.00933,                 2.8297,                 6.2812,                 3.2937,                0.00604,                0.00604,                0.00604
                     90,                 2.8697,                 3.8308,                 3.2018,                0.35353,                0.01352,                0.01709,                0.00859,                 2.9136,                 6.3864,                 3.2595,               0.005995,               0.005995,               0.005995
                     91,                 2.9236,                 3.7085,                 3.1692,                0.33393,                0.03391,                0.02425,                0.01174,                 2.9608,                 5.8546,                 3.2729,                0.00595,                0.00595,                0.00595
                     92,                 2.7844,                 3.8213,                 3.1518,                0.36985,                0.03299,                0.02726,                0.01253,                  2.963,                  5.525,                 3.2831,               0.005905,               0.005905,               0.005905
                     93,                 2.8997,                 3.6737,                 3.1747,                0.34086,                0.03771,                0.02952,                0.01342,                 2.9499,                 5.4593,                 3.2878,                0.00586,                0.00586,                0.00586
                     94,                 2.6965,                 3.6182,                 3.0697,                0.40474,                0.04926,                 0.0387,                0.01731,                   2.96,                 5.5211,                 3.2561,               0.005815,               0.005815,               0.005815
                     95,                 2.7879,                 3.5732,                 3.0909,                0.44223,                0.03743,                0.03592,                 0.0179,                 3.0018,                 7.9123,                 3.2637,                0.00577,                0.00577,                0.00577
                     96,                 2.7909,                 3.8135,                 3.1301,                0.40628,                0.03626,                0.04055,                0.01974,                 2.9785,                 5.9026,                 3.2536,               0.005725,               0.005725,               0.005725
